employee_id,department,timestamp,type
E101,Sales,2026-02-01 09:05:00,check-in
E101,Sales,2026-02-01 18:02:00,check-out
E101,Sales,2026-02-02 09:20:00,check-in
E101,Sales,2026-02-02 18:15:00,check-out
E101,Sales,2026-02-03 08:58:00,check-in
E101,Sales,2026-02-03 17:55:00,check-out
E101,Sales,2026-02-04 09:40:00,check-in
E101,Sales,2026-02-04 18:05:00,check-out
E101,Sales,2026-02-05 09:10:00,check-in
E101,Sales,2026-02-05 18:20:00,check-out
E102,HR,2026-02-01 08:50:00,check-in
E102,HR,2026-02-01 17:30:00,check-out
E102,HR,2026-02-02 09:05:00,check-in
E102,HR,2026-02-02 17:45:00,check-out
E102,HR,2026-02-03 09:00:00,check-in
E102,HR,2026-02-03 17:40:00,check-out
E102,HR,2026-02-04 09:30:00,check-in
E102,HR,2026-02-04 18:00:00,check-out
E102,HR,2026-02-05 09:15:00,check-in
E102,HR,2026-02-05 17:50:00,check-out
E103,IT,2026-02-01 09:45:00,check-in
E103,IT,2026-02-01 19:00:00,check-out
E103,IT,2026-02-02 10:10:00,check-in
E103,IT,2026-02-02 19:20:00,check-out
E103,IT,2026-02-03 09:30:00,check-in
E103,IT,2026-02-03 18:40:00,check-out
E103,IT,2026-02-04 09:50:00,check-in
E103,IT,2026-02-04 19:10:00,check-out
E103,IT,2026-02-05 09:35:00,check-in
E103,IT,2026-02-05 18:55:00,check-out
E104,Finance,2026-02-01 09:00:00,check-in
E104,Finance,2026-02-01 17:40:00,check-out
E104,Finance,2026-02-02 09:05:00,check-in
E104,Finance,2026-02-02 17:50:00,check-out
E104,Finance,2026-02-03 08:55:00,check-in
E104,Finance,2026-02-03 17:35:00,check-out
E104,Finance,2026-02-04 09:10:00,check-in
E104,Finance,2026-02-04 18:00:00,check-out
E104,Finance,2026-02-05 09:25:00,check-in
E104,Finance,2026-02-05 17:45:00,check-out
E105,Operations,2026-02-01 09:30:00,check-in
E105,Operations,2026-02-01 18:45:00,check-out
E105,Operations,2026-02-02 09:40:00,check-in
E105,Operations,2026-02-02 18:50:00,check-out
E105,Operations,2026-02-03 09:10:00,check-in
E105,Operations,2026-02-03 18:30:00,check-out
E105,Operations,2026-02-04 09:55:00,check-in
E105,Operations,2026-02-04 19:00:00,check-out
E105,Operations,2026-02-05 09:20:00,check-in
E105,Operations,2026-02-05 18:40:00,check-out
